tweet_id,twitter_handle,tweet_text,iata_airline,like_count,created_at
1555384634632183809,JalaBulaJux,"@britishairways  I was traveling America through British airways. The BA flights were great but evry American Airlines @americanairlnes flight has been delayed, canceled or rerouted. I am sitting in an AA flight to london - delayed 1h because the pilot did not show up! #ba #fly",BA,0,2022-08-05 02:46:09+00:00
1555126752531333120,ClaimDelay,"Delays by airline 3/8/22 - have you had a delayed or cancelled flight in the last 6 years?

@lufthansa 6
@British_Airways 5
@easyJet 5
@wizzair 4
@KLM 4
@SAS 4

https://t.co/SkDuH6UYCP
#travel #flight #delays #cancelled",BA,0,2022-08-04 09:41:25+00:00
1554195481319952389,lilianedwards,@C4Dispatches report on air travel chaos beggars belief. @UK_CAA has only once taken action vs budget airlines evading paying compensation in 20 years. My own recent experience with @British_Airways who cancelled almost all flights EDI to HRW without warning or info was dire.,BA,0,2022-08-01 20:00:52+00:00
1554053339155173377,Upintheair380,"@British_Airways My flight by @AmericanAir booked thru #Avios (PNR - L7Q6YQ) on 16 June was cancelled by the airline. Please credit my account back with the required miles, or give me an email address to send all the relevant info to.",BA,1,2022-08-01 10:36:03+00:00
1554043267221753856,JorgeGarciaR,"Airlines I am going to try avoiding so far, as I haven't had a single flight without incidents in the last 6 months: @British_Airways, @easyJet and @wizzair. If only they had a decent (or just any) customer service, I would reconsider.",BA,2,2022-08-01 09:56:02+00:00
1553962887877722112,Freeheel63,"So @British_Airways you cancel my flight 30 mins after it should have taken off, I have to sort my own hotel and new flight home. I’m out of pocket for 3 weeks now, how long can it possibly take to check details and pay me, or respond even!? Hopeless airline.",BA,3,2022-08-01 04:36:38+00:00
1553846143834103808,TommyMoore,@British_Airways is it possible to use American Airlines miles to book BA flight or transfer miles to BA program?,BA,0,2022-07-31 20:52:44+00:00
1552681068817518593,JohnInfranca,"@British_Airways offered no option to rebook on their own flights, but their representative assured us we could rebook on another airline and would be reimbursed the full amount.  So we did that, to the tune of another $1,300 or so.",BA,0,2022-07-28 15:43:08+00:00
1552451704028893184,lhunter726,@British_Airways I accidentally applied for a voucher for an upcoming flight and want to cancel that request since I am currently rebooking through American Airlines. I couldn't find any sort of chat option or phone number.,BA,0,2022-07-28 00:31:44+00:00
1551716890313121801,BenWBriscoe,Really trying to stay loyal to @British_Airways but finding it increasingly difficult this summer. Hardly any flights to destinations in Europe or wildly high prices (clearly designed to put people off booking). What a shambles this once great airline has become.,BA,13,2022-07-25 23:51:50+00:00
1551624527179808769,vincentLabrunne,"@mymidlifespices @Flight_Refunds @Expedia @British_Airways I have the same issue with @bookingcom , the key is to never buy tickets though Expedia or @bookingcom , but directly to the airline .",BA,2,2022-07-25 17:44:49+00:00
1551519179806752768,RCheesley,"@andrewbonar @Travel_Up @British_Airways If the airline changes their flight schedule or cancels your flight, as an agent we provide our service again to rebook, refund or provide vouchers for future travel dependant on the policy given by the airline.",BA,2,2022-07-25 10:46:12+00:00
1551519136844488705,RCheesley,"@andrewbonar @Travel_Up @British_Airways ""Once you have chosen your flight, make payment and receive your ETicket our service is complete. The responsibility then falls to the airline to operate the service you have paid for or provide you with a suitable alternative.",BA,0,2022-07-25 10:46:02+00:00
1551142420460478464,SubicshaThaya,@British_Airways I was not rebooked because there were no flights available till Monday and no one would help me with exploring alternative airports or airlines.,BA,0,2022-07-24 09:49:06+00:00
